背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,team,Name,salary
22,小林　誠司,,,,,,,,,,,,,,,,,,,g,小林　誠司,4000
23,石塚　裕惺,,,,,,,,,,,,,,,,,,,g,石塚　裕惺,1200
67,山瀬　慎之助,,,,,,,,,,,,,,,,,,,g,山瀬　慎之助,680
94,喜多　隆介,,,,,,,,,,,,,,,,,,,g,喜多　隆介,640
1,岡林　勇希,0.277,44.0,196.0,177.0,49.0,0.0,4.0,7.0,17.0,0.0,15.0,1.0,0.0,0.338,0.373,0.711,5.15,4.93,d,岡林　勇希,7000
51,上林　誠知,0.27,43.0,153.0,141.0,38.0,5.0,20.0,8.0,6.0,1.0,34.0,4.0,0.0,0.302,0.433,0.735,4.71,4.68,d,上林　誠知,1750
4,カリステ,0.224,38.0,127.0,116.0,26.0,0.0,10.0,1.0,7.0,0.0,26.0,1.0,3.0,0.262,0.293,0.555,2.21,2.43,d,カリステ,9000
55,細川　成也,0.191,30.0,110.0,89.0,17.0,2.0,7.0,0.0,19.0,1.0,27.0,0.0,3.0,0.336,0.315,0.651,3.46,3.66,d,細川　成也,9200
24,ボスラー,0.2,29.0,106.0,100.0,20.0,2.0,11.0,0.0,5.0,1.0,26.0,0.0,2.0,0.245,0.32,0.565,2.29,2.33,d,ボスラー,10000
35,木下　拓哉,0.232,33.0,104.0,95.0,22.0,2.0,8.0,0.0,8.0,0.0,19.0,1.0,2.0,0.291,0.305,0.597,2.89,2.92,d,木下　拓哉,7000
60,山本　泰寛,0.216,35.0,96.0,88.0,19.0,2.0,5.0,0.0,1.0,0.0,18.0,7.0,1.0,0.225,0.33,0.554,2.14,2.16,d,山本　泰寛,2000
63,板山　祐太郎,0.203,29.0,80.0,74.0,15.0,2.0,5.0,0.0,5.0,0.0,23.0,1.0,2.0,0.253,0.324,0.577,2.32,2.38,d,板山　祐太郎,1400
5,村松　開人,0.138,20.0,75.0,65.0,9.0,0.0,2.0,2.0,4.0,2.0,14.0,4.0,0.0,0.211,0.169,0.38,0.9,1.06,d,村松　開人,3300
3,高橋　周平,0.25,27.0,65.0,60.0,15.0,0.0,5.0,0.0,5.0,0.0,11.0,0.0,1.0,0.308,0.3,0.608,3.23,3.09,d,高橋　周平,6000
6,中田　翔,0.169,22.0,65.0,59.0,10.0,2.0,4.0,0.0,6.0,0.0,11.0,0.0,1.0,0.246,0.322,0.568,2.38,2.49,d,中田　翔,30000
25,石川　昂弥,0.16,13.0,52.0,50.0,8.0,0.0,3.0,0.0,1.0,1.0,18.0,0.0,1.0,0.192,0.2,0.392,0.18,0.31,d,石川　昂弥,3000
2,田中　幹也,0.318,13.0,51.0,44.0,14.0,1.0,3.0,2.0,2.0,0.0,4.0,5.0,0.0,0.348,0.432,0.78,5.61,5.32,d,田中　幹也,1850
42,ブライト　健太,0.188,25.0,39.0,32.0,6.0,1.0,4.0,0.0,6.0,1.0,12.0,0.0,0.0,0.333,0.406,0.74,4.45,4.54,d,ブライト　健太,1350
45,土田　龍空,0.143,12.0,37.0,35.0,5.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,2.0,0.189,0.2,0.389,0.01,0.09,d,土田　龍空,1520
66,鵜飼　航丞,0.179,12.0,28.0,28.0,5.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.179,0.179,0.357,0.08,0.2,d,鵜飼　航丞,1130
39,宇佐見　真吾,0.2,9.0,22.0,20.0,4.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.273,0.2,0.473,1.84,2.01,d,宇佐見　真吾,4000
8,大島　洋平,0.118,15.0,18.0,17.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.167,0.118,0.284,-0.31,-0.05,d,大島　洋平,10000
9,石伊　雄太,0.188,7.0,17.0,16.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.188,0.188,0.375,0.48,0.6,d,石伊　雄太,1000
49,加藤　匠馬,0.182,19.0,14.0,11.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.25,0.182,0.432,1.3,1.42,d,加藤　匠馬,2200
97,樋口　正修,0.0,15.0,13.0,11.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,1.0,0.0,0.083,0.0,0.083,-1.88,-1.45,d,樋口　正修,531
0,辻本　倫太郎,0.091,8.0,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.091,0.091,0.182,-1.85,-1.71,d,辻本　倫太郎,850
53,駿太,0.125,9.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.125,0.125,0.25,-0.53,-0.37,d,駿太,1900
95,ロドリゲス,0.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-3.2,-3.15,d,ロドリゲス,1500
95,ロドリゲス,0.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-3.2,-3.15,d,ロドリゲス,1000
37,濱　将乃介,0.5,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,12.3,11.07,d,濱　将乃介,650
0,尾田　剛樹,,,,,,,,,,,,,,,,,,,d,尾田　剛樹,830
7,福永　裕基,,,,,,,,,,,,,,,,,,,d,福永　裕基,3500
27,津田　啓史,,,,,,,,,,,,,,,,,,,d,津田　啓史,1000
31,森　駿太,,,,,,,,,,,,,,,,,,,d,森　駿太,600
43,味谷　大誠,,,,,,,,,,,,,,,,,,,d,味谷　大誠,610
44,川越　誠司,,,,,,,,,,,,,,,,,,,d,川越　誠司,1500
57,山浅　龍之介,,,,,,,,,,,,,,,,,,,d,山浅　龍之介,610
58,石橋　康太,,,,,,,,,,,,,,,,,,,d,石橋　康太,1150
13,オスナ,0.255,40.0,165.0,153.0,39.0,2.0,17.0,0.0,11.0,0.0,17.0,0.0,5.0,0.303,0.34,0.643,3.33,3.29,s,オスナ,46500
13,オスナ,0.255,40.0,165.0,153.0,39.0,2.0,17.0,0.0,11.0,0.0,17.0,0.0,5.0,0.303,0.34,0.643,3.33,3.29,s,オスナ,100000
25,サンタナ,0.286,39.0,163.0,140.0,40.0,3.0,11.0,1.0,21.0,2.0,40.0,0.0,3.0,0.387,0.407,0.794,6.0,5.81,s,サンタナ,38750
8,茂木　栄五郎,0.258,36.0,138.0,120.0,31.0,5.0,16.0,0.0,15.0,2.0,40.0,1.0,2.0,0.35,0.4,0.75,4.9,4.93,s,茂木　栄五郎,7000
1,山田　哲人,0.214,36.0,131.0,117.0,25.0,3.0,11.0,0.0,13.0,0.0,20.0,0.0,3.0,0.29,0.325,0.615,3.04,3.17,s,山田　哲人,50000
0,赤羽　由紘,0.214,34.0,119.0,112.0,24.0,0.0,7.0,2.0,3.0,0.0,25.0,3.0,1.0,0.233,0.268,0.501,1.76,1.83,s,赤羽　由紘,900
3,西川　遥輝,0.188,28.0,96.0,85.0,16.0,0.0,6.0,1.0,11.0,0.0,23.0,0.0,1.0,0.281,0.224,0.505,2.14,2.24,s,西川　遥輝,3300
64,岩田　幸宏,0.253,32.0,87.0,79.0,20.0,0.0,1.0,3.0,5.0,2.0,9.0,1.0,0.0,0.314,0.316,0.63,3.83,3.79,s,岩田　幸宏,1000
7,長岡　秀樹,0.194,19.0,78.0,72.0,14.0,0.0,2.0,0.0,2.0,1.0,6.0,2.0,3.0,0.224,0.222,0.446,0.88,1.03,s,長岡　秀樹,9200
27,中村　悠平,0.15,28.0,74.0,60.0,9.0,0.0,4.0,0.0,8.0,2.0,8.0,4.0,3.0,0.271,0.167,0.438,1.0,1.17,s,中村　悠平,15000
2,古賀　優大,0.276,23.0,63.0,58.0,16.0,1.0,4.0,0.0,2.0,1.0,7.0,2.0,4.0,0.311,0.379,0.691,3.16,3.03,s,古賀　優大,1350
33,内山　壮真,0.25,17.0,55.0,48.0,12.0,2.0,6.0,2.0,5.0,0.0,10.0,0.0,0.0,0.309,0.417,0.726,5.11,5.54,s,内山　壮真,2200
60,武岡　龍世,0.154,20.0,43.0,39.0,6.0,0.0,2.0,0.0,2.0,0.0,6.0,2.0,0.0,0.195,0.231,0.426,1.05,1.08,s,武岡　龍世,1600
38,北村　拓己,0.343,13.0,43.0,35.0,12.0,1.0,2.0,0.0,2.0,3.0,7.0,3.0,1.0,0.425,0.457,0.882,6.18,5.94,s,北村　拓己,1700
63,増田　珠,0.235,23.0,36.0,34.0,8.0,0.0,4.0,0.0,1.0,0.0,7.0,1.0,0.0,0.257,0.412,0.669,3.69,3.5,s,増田　珠,900
10,宮本　丈,0.296,26.0,35.0,27.0,8.0,0.0,3.0,0.0,8.0,0.0,6.0,0.0,1.0,0.457,0.333,0.79,6.65,6.49,s,宮本　丈,2300
4,丸山　和郁,0.105,11.0,19.0,19.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.105,0.105,0.211,-1.17,-0.94,s,丸山　和郁,2600
51,濱田　太貴,0.059,10.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.059,0.059,0.118,-1.89,-1.62,s,濱田　太貴,1600
32,松本　直樹,0.133,6.0,16.0,15.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.188,0.2,0.388,-0.7,-0.67,s,松本　直樹,1900
67,伊藤　琉偉,0.25,15.0,13.0,12.0,3.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,0.308,0.25,0.558,3.46,3.48,s,伊藤　琉偉,750
93,橋本　星哉,0.1,12.0,11.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.182,0.1,0.282,-0.29,0.03,s,橋本　星哉,550
0,並木　秀尊,0.0,16.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.05,-2.66,s,並木　秀尊,1400
55,村上　宗隆,0.25,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.25,0.25,0.5,1.89,1.89,s,村上　宗隆,60000
37,山野辺　翔,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.92,-2.7,s,山野辺　翔,1200
5,川端　慎吾,,,,,,,,,,,,,,,,,,,s,川端　慎吾,2400
9,塩見　泰隆,,,,,,,,,,,,,,,,,,,s,塩見　泰隆,5700
31,モイセエフ　ニキータ,,,,,,,,,,,,,,,,,,,s,モイセエフ　ニキータ,650
36,西村　瑠伊斗,,,,,,,,,,,,,,,,,,,s,西村　瑠伊斗,670
42,澤井　廉,,,,,,,,,,,,,,,,,,,s,澤井　廉,1000
46,太田　賢吾,,,,,,,,,,,,,,,,,,,s,太田　賢吾,1200
50,北村　恵吾,,,,,,,,,,,,,,,,,,,s,北村　恵吾,850
54,田中　陽翔,,,,,,,,,,,,,,,,,,,s,田中　陽翔,550
57,矢野　泰二郎,,,,,,,,,,,,,,,,,,,s,矢野　泰二郎,700
65,鈴木　叶,,,,,,,,,,,,,,,,,,,s,鈴木　叶,550
90,中川　拓真,,,,,,,,,,,,,,,,,,,s,中川　拓真,500
5,山川　穂高,0.199,45.0,185.0,166.0,33.0,8.0,24.0,0.0,14.0,3.0,49.0,0.0,3.0,0.27,0.367,0.638,3.2,3.49,h,山川　穂高,45000
7,中村　晃,0.285,41.0,168.0,144.0,41.0,1.0,9.0,1.0,22.0,0.0,17.0,2.0,2.0,0.38,0.347,0.727,5.16,5.01,h,中村　晃,10000
8,牧原　大成,0.27,40.0,134.0,126.0,34.0,0.0,14.0,4.0,2.0,0.0,21.0,4.0,1.0,0.277,0.357,0.634,3.61,3.6,h,牧原　大成,10000
32,柳町　達,0.308,35.0,127.0,104.0,32.0,3.0,15.0,1.0,22.0,0.0,27.0,1.0,4.0,0.429,0.442,0.871,6.62,6.43,h,柳町　達,4200
24,栗原　陵矢,0.192,27.0,117.0,99.0,19.0,2.0,7.0,0.0,16.0,1.0,22.0,0.0,1.0,0.308,0.263,0.57,2.83,3.12,h,栗原　陵矢,15000
23,周東　佑京,0.32,22.0,110.0,100.0,32.0,0.0,13.0,7.0,9.0,1.0,22.0,0.0,0.0,0.382,0.41,0.792,6.52,6.1,h,周東　佑京,11000
6,今宮　健太,0.241,23.0,96.0,83.0,20.0,1.0,5.0,0.0,9.0,1.0,13.0,2.0,3.0,0.319,0.313,0.632,3.24,3.35,h,今宮　健太,30000
33,廣瀨　隆太,0.241,25.0,88.0,79.0,19.0,1.0,7.0,1.0,7.0,0.0,26.0,1.0,2.0,0.299,0.304,0.603,3.01,3.16,h,廣瀨　隆太,1400
30,佐藤　直樹,0.219,31.0,86.0,73.0,16.0,0.0,5.0,4.0,7.0,0.0,24.0,6.0,2.0,0.288,0.342,0.63,3.22,3.14,h,佐藤　直樹,1400
99,野村　勇,0.309,31.0,79.0,68.0,21.0,4.0,6.0,6.0,8.0,1.0,20.0,2.0,1.0,0.39,0.559,0.948,7.63,7.32,h,野村　勇,2100
62,海野　隆司,0.188,30.0,75.0,69.0,13.0,0.0,5.0,0.0,1.0,0.0,15.0,5.0,1.0,0.2,0.261,0.461,1.17,1.18,h,海野　隆司,2600
31,正木　智也,0.259,17.0,65.0,58.0,15.0,2.0,8.0,1.0,5.0,0.0,12.0,0.0,2.0,0.308,0.362,0.67,3.75,4.19,h,正木　智也,3000
12,嶺井　博希,0.245,21.0,55.0,49.0,12.0,3.0,12.0,0.0,0.0,2.0,11.0,3.0,2.0,0.269,0.449,0.718,3.5,3.8,h,嶺井　博希,7500
57,緒方　理貢,0.22,35.0,53.0,50.0,11.0,0.0,5.0,2.0,1.0,0.0,6.0,2.0,2.0,0.235,0.28,0.515,0.97,1.04,h,緒方　理貢,1300
0,川瀬　晃,0.234,29.0,50.0,47.0,11.0,1.0,5.0,1.0,1.0,0.0,7.0,2.0,1.0,0.25,0.383,0.633,3.06,2.94,h,川瀬　晃,3800
9,柳田　悠岐,0.286,11.0,38.0,35.0,10.0,2.0,6.0,0.0,3.0,0.0,7.0,0.0,1.0,0.342,0.486,0.828,5.71,5.56,h,柳田　悠岐,47000
44,笹川　吉康,0.147,13.0,35.0,34.0,5.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,1.0,0.143,0.147,0.29,-0.45,0.0,h,笹川　吉康,800
0,渡邉　陸,0.214,17.0,32.0,28.0,6.0,0.0,5.0,0.0,3.0,1.0,12.0,0.0,0.0,0.313,0.214,0.527,2.63,2.8,h,渡邉　陸,780
4,ダウンズ,0.222,12.0,31.0,27.0,6.0,0.0,1.0,2.0,4.0,0.0,6.0,0.0,0.0,0.323,0.333,0.656,4.63,4.42,h,ダウンズ,9000
55,石塚　綜一郎,0.2,12.0,29.0,25.0,5.0,0.0,2.0,0.0,0.0,4.0,9.0,0.0,1.0,0.31,0.28,0.59,2.67,2.65,h,石塚　綜一郎,700
52,秋広　優人,0.25,7.0,23.0,20.0,5.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.348,0.3,0.648,3.45,3.38,h,秋広　優人,2450
52,リチャード,0.091,6.0,22.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.091,0.182,0.273,-1.13,-1.07,h,リチャード,1000
3,近藤　健介,0.333,3.0,15.0,12.0,4.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.4,0.333,0.733,6.16,6.93,h,近藤　健介,55000
77,山本　恵大,0.0,4.0,11.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.182,0.0,0.182,-1.75,-1.4,h,山本　恵大,400
45,谷川原　健太,0.0,4.0,8.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.375,0.0,0.375,2.23,2.97,h,谷川原　健太,1500
25,庄子　雄大,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.81,-2.57,h,庄子　雄大,1200
61,川村　友斗,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,h,川村　友斗,2050
22,牧原　巧汰,,,,,,,,,,,,,,,,,,,h,牧原　巧汰,550
36,イヒネ　イツア,,,,,,,,,,,,,,,,,,,h,イヒネ　イツア,800
43,井上　朋也,,,,,,,,,,,,,,,,,,,h,井上　朋也,900
46,宇野　真仁朗,,,,,,,,,,,,,,,,,,,h,宇野　真仁朗,500
65,藤田　悠太郎,,,,,,,,,,,,,,,,,,,h,藤田　悠太郎,600
67,石見　颯真,,,,,,,,,,,,,,,,,,,h,石見　颯真,500
51,西川　愛也,0.277,44.0,196.0,177.0,49.0,3.0,12.0,11.0,15.0,3.0,17.0,0.0,1.0,0.342,0.407,0.749,5.42,5.26,l,西川　愛也,2200
26,ネビン,0.265,44.0,186.0,170.0,45.0,4.0,22.0,2.0,10.0,4.0,24.0,0.0,4.0,0.317,0.388,0.705,4.34,4.35,l,ネビン,25000
5,外崎　修汰,0.227,41.0,161.0,141.0,32.0,2.0,8.0,2.0,15.0,1.0,22.0,2.0,4.0,0.302,0.312,0.614,3.05,3.21,l,外崎　修汰,16000
63,長谷川　信哉,0.189,42.0,148.0,132.0,25.0,3.0,11.0,5.0,10.0,3.0,17.0,2.0,2.0,0.26,0.288,0.548,2.45,2.66,l,長谷川　信哉,1500
8,渡部　聖弥,0.331,34.0,141.0,136.0,45.0,4.0,17.0,1.0,4.0,1.0,21.0,0.0,5.0,0.355,0.485,0.84,5.64,5.34,l,渡部　聖弥,1250
6,源田　壮亮,0.237,29.0,112.0,97.0,23.0,0.0,6.0,5.0,10.0,1.0,15.0,3.0,1.0,0.312,0.32,0.632,3.89,3.88,l,源田　壮亮,30000
62,滝澤　夏央,0.258,36.0,109.0,93.0,24.0,0.0,4.0,5.0,9.0,0.0,12.0,7.0,1.0,0.324,0.28,0.603,3.41,3.35,l,滝澤　夏央,1100
22,古賀　悠斗,0.214,34.0,107.0,98.0,21.0,1.0,7.0,0.0,6.0,0.0,21.0,3.0,1.0,0.26,0.276,0.535,2.21,2.26,l,古賀　悠斗,4600
60,中村　剛也,0.284,29.0,85.0,74.0,21.0,3.0,8.0,0.0,11.0,0.0,19.0,0.0,1.0,0.376,0.473,0.849,6.64,6.39,l,中村　剛也,10000
40,セデーニョ,0.154,20.0,68.0,65.0,10.0,1.0,7.0,0.0,2.0,0.0,13.0,0.0,1.0,0.176,0.215,0.392,0.49,0.85,l,セデーニョ,16000
31,平沼　翔太,0.204,25.0,57.0,54.0,11.0,0.0,4.0,1.0,2.0,1.0,6.0,0.0,0.0,0.246,0.222,0.468,1.79,1.83,l,平沼　翔太,1900
30,元山　飛優,0.139,26.0,41.0,36.0,5.0,0.0,2.0,0.0,1.0,0.0,3.0,4.0,1.0,0.162,0.194,0.357,0.13,0.2,l,元山　飛優,1300
0,児玉　亮涼,0.194,18.0,36.0,31.0,6.0,0.0,3.0,0.0,4.0,0.0,3.0,1.0,0.0,0.286,0.258,0.544,2.19,2.25,l,児玉　亮涼,1200
67,野村　大樹,0.171,13.0,36.0,35.0,6.0,0.0,2.0,0.0,0.0,0.0,9.0,1.0,0.0,0.171,0.2,0.371,0.42,0.52,l,野村　大樹,1520
27,炭谷　銀仁朗,0.238,14.0,25.0,21.0,5.0,0.0,1.0,0.0,1.0,1.0,5.0,2.0,0.0,0.304,0.238,0.542,2.62,2.67,l,炭谷　銀仁朗,4000
53,牧野　翔矢,0.227,9.0,24.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.227,0.227,0.455,1.39,1.44,l,牧野　翔矢,720
35,松原　聖弥,0.273,8.0,24.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.273,0.318,0.591,2.88,2.72,l,松原　聖弥,2000
1,栗山　巧,0.087,11.0,23.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.087,0.087,0.174,-1.82,-1.62,l,栗山　巧,8000
9,蛭間　拓哉,0.167,4.0,13.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.167,0.167,0.333,0.17,0.29,l,蛭間　拓哉,2400
0,仲田　慶介,0.0,17.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.4,-2.16,l,仲田　慶介,700
73,モンテル,0.143,4.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.143,0.143,0.286,-0.53,-0.32,l,モンテル,400
4,山野辺　翔,0.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.24,-0.9,l,山野辺　翔,1200
68,岸　潤一郎,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,5.86,6.75,l,岸　潤一郎,2400
39,平沢　大河,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.92,-2.7,l,平沢　大河,1600
2,齋藤　大翔,,,,,,,,,,,,,,,,,,,l,齋藤　大翔,1000
10,佐藤　龍世,,,,,,,,,,,,,,,,,,,l,佐藤　龍世,3400
32,山村　崇嘉,,,,,,,,,,,,,,,,,,,l,山村　崇嘉,1500
33,古川　雄大,,,,,,,,,,,,,,,,,,,l,古川　雄大,750
37,柘植　世那,,,,,,,,,,,,,,,,,,,l,柘植　世那,2100
44,林　冠臣,,,,,,,,,,,,,,,,,,,l,林　冠臣,1000
